id,latin,family,common,category,origin,climate,tempmax,tempmin,ideallight,toleratedlight,watering,image,[].insects[],insects,[].diseases[],[].use[],diseases,use
0,Aeschynanthus lobianus,Gesneriaceae,Lipstick,Hanging,Java,Tropical,89.6,57.2,Bright light,Direct sunlight,less frequent,https://foliadesign.ca/cdn/shop/products/DSC_9573_2048x.jpg?v=1663603416,Mealy bug;Aphid;Thrips,,,,,
47,Cissus rhombifolia,Vitaceae,Ellen Danica,Hanging,Cultivar,Subtropical,82.4,50,Bright light,Diffused,less frequent,https://cb.scene7.com/is/image/Crate/TrailingFicusHangingPlantSSS21/$web_pdp_main_carousel_med$/201019091947/faux-trailing-ficus-hanging-plant-in-pot.jpg,,Mealy bug,Downy mildiou;Powdery,Hanging;Ground cover,,
56,Cissus rhombifolia,Vitaceae,Grape Ivy,Hanging,Central America & South America,Tropical,82.4,50,Bright light,Diffused,less frequent,https://m.media-amazon.com/images/I/61Bn0LBgFML.__AC_SX300_SY300_QL70_FMwebp_.jpg,,Mealy bug,Downy mildiou;Powdery,Hanging;Ground cover,,
63,Chlorophytum comosum,Liliaceae,Spider plant,Hanging,Central Africa,Tropical to subtropical,82.4,41,Bright light,Diffused,frequent,https://m.media-amazon.com/images/I/51wtlZUB5ML._AC_.jpg,,N/A,,Hanging;Ground cover,N/A,
93,Epipremnum aureum,Araceae,Marble Queen,Hanging,Cultivar,Tropical,20,53.6,Bright light,Diffused,frequent,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/ac9a58e59916e30b604ce7b7394d9a1b.jpg?imageView2/2/w/800/q/70,,Mealy bug,Pythium,Hanging;Tertiary,,
103,Hedera canariensis,Araliaceae,Algerian ivy,Hanging,Canaries,Subtropical,20,41,Bright light,Diffused,frequent,https://dubaigardencentre.ae/getimage/products/hederahelix_i41323_prod_img_1_copy.jpg,Spider mite;Mealy bug;Scale,,,Hanging;Ground cover,N/A,
104,Epipremnum aureum,Araceae,Golden Pothos,Hanging,South Pacific,Tropical,20,53.6,Bright light,Diffused,Average,https://m.media-amazon.com/images/I/41IkfFhdJTL._AC_.jpg,,Mealy bug,Pythium,Hanging;Tertiary,,
115,Hedera helix,Araliaceae,English ivy,Hanging,Cultivar,Subtropical,20,41,Bright light,Diffused,Average,https://www.provenwinners.com/sites/provenwinners.com/files/imagecache/500x500/ifa_upload/hedera_glacier_mono.jpg,Spider mite;Mealy bug,,,Hanging;Ground cover,N/A,
1,Adiantum raddianum,Polypodiaceae,Maindenhair,Fern,Brazil,Tropical,86,53.6,Bright light,Diffused,Frequent,https://botanically.nl/wp-content/uploads/2020/11/adiantum-capilius-veneris.jpg,Mealy bug;Aphid;Snail,,,Potted plant;Ground cover;Table top,Gray mold,
61,Asplenium nidus,Aspleniaceae,Birdnest fern,Fern,Asia,Tropical humid,82.4,59,Bright light,Diffused,Frequent,https://m.media-amazon.com/images/I/81fqLV0QulL._AC_SL1500_.jpg,,Mealy bug,,Potted plant;Primary,N/A,
